decision	panel_tier	include_phase2	priority	sample_id	accession	organism	datatype	broad_group	order_or_subgroup	family	busco	panel_role	rationale	caveats	source_url_or_ftp
main_panel	main_genome	yes	high	GCA_965653795.1	GCA_965653795.1	Pogonognathellus longicornis	genome	collembola	collembola	Tomoceridae	C:87.3%[S:85.1%,D:2.2%],F:7.3%,M:5.5%,n:1667	collembola_comparator	Good BUSCO and useful Collembola diversity	Check assembly size/fragmentation before final run	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/965/653/795/GCA_965653795.1_qlPogLong1.1/GCA_965653795.1_qlPogLong1.1_genomic.fna.gz
main_panel	main_genome	yes	high	GCA_964276635.1	GCA_964276635.1	Lepidocyrtus curvicollis	genome	collembola	collembola	Entomobryidae	C:87.4%[S:84.8%,D:2.6%],F:6.8%,M:5.8%,n:1667	collembola_comparator	Good BUSCO and useful Collembola diversity	Check assembly size/fragmentation before final run	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/964/276/635/GCA_964276635.1_qeLepCurv1.1/GCA_964276635.1_qeLepCurv1.1_genomic.fna.gz
reserve	reserve_genome	no	medium	GCA_009869795.1	GCA_009869795.1	Neelides sp.	genome	collembola	collembola	Neelidae	C:79.0%[S:78.3%,D:0.7%],F:11.0%,M:10.0%,n:1667	collembola_reserve	Interesting Collembola reserve; could be added if diversity is prioritized over panel size	Medium priority due to BUSCO and to avoid overrepresentation	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/009/869/795/GCA_009869795.1_ASM986979v1/GCA_009869795.1_ASM986979v1_genomic.fna.gz
main_panel	main_genome	yes	high	GCA_000934665.2	GCA_000934665.2	Catajapyx aquilonaris	genome	diplura	diplura	Japygidae	C:85.4%[S:83.7%,D:1.7%],F:11.5%,M:3.1%,n:1667	phase1_anchor_diplura	Phase 1 high-k k15 nearest-neighbor signal involved this taxon; must keep for continuity	Single Diplura genome is not enough; pair with Campodea if possible	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/934/665/GCA_000934665.2_Caqu_2.0/GCA_000934665.2_Caqu_2.0_genomic.fna.gz
side_panel	side_transcriptome	no	low	GAXJ00000000.2	GAXJ00000000.2	Occasjapyx japonicus	transcriptome	diplura	diplura	Japygidae	C:83.4%[S:79.2%,D:4.3%],F:9.7%,M:6.9%,n:1667	diplura_side_panel	Potential Diplura diversity only for a later transcriptome-aware side analysis	Transcriptome only; do not mix into genome main panel	https://sra-download.ncbi.nlm.nih.gov/traces/wgs03/wgs_aux/GA/XJ/GAXJ02/GAXJ02.1.fsa_nt.gz
side_panel	side_transcriptome	no	low	GKDA00000000.1	GKDA00000000.1	Lepidocampa weberi	transcriptome	diplura	Campodeoidea	Campodeidae_or_related	C:84.3%[S:54.2%,D:30.1%],F:10.5%,M:5.2%,n:1667	diplura_side_panel	Potential Campodeoidea comparator only for later transcriptome-aware side analysis	Transcriptome only; high duplicated BUSCO fraction	https://sra-download.ncbi.nlm.nih.gov/traces/wgs01/wgs_aux/GK/DA/GKDA01/GKDA01.1.fsa_nt.gz
side_panel	side_transcriptome	no	low	GKCZ00000000.1	GKCZ00000000.1	Octostigma sinensis	transcriptome	diplura	diplura	Octostigmatidae	C:94.7%[S:53.3%,D:41.4%],F:3.8%,M:1.4%,n:1667	diplura_side_panel	Potential Diplura diversity only for later transcriptome-aware side analysis	Transcriptome only; very high duplicated BUSCO fraction	https://sra-download.ncbi.nlm.nih.gov/traces/wgs04/wgs_aux/GK/CZ/GKCZ01/GKCZ01.1.fsa_nt.gz
side_panel	side_transcriptome	no	low	HBDP00000000.1	HBDP00000000.1	Machilis pallida	transcriptome	insecta	Archaeognatha	NA	C:89.9%[S:84.7%,D:5.2%],F:6.2%,M:3.9%,n:1667	insect_side_panel	Interesting basal insect comparator but only as transcriptome side panel	Transcriptome only; do not mix into genome main panel	https://sra-download.ncbi.nlm.nih.gov/traces/wgs04/wgs_aux/HB/DP/HBDP01/HBDP01.1.fsa_nt.gz
reserve	reserve_genome	no	medium	GCA_977018435.1	GCA_977018435.1	Lepisma saccharinum	genome	insecta	Zygentoma	NA	NA	insect_reserve	Alternative Zygentoma comparator if Thermobia fails	BUSCO not provided in sheet; same broad role as Thermobia	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/977/018/435/GCA_977018435.1_izLepSacc3.1/GCA_977018435.1_izLepSacc3.1_genomic.fna.gz
main_panel	main_genome	yes	high	GCA_964235325.1	GCA_964235325.1	Thermobia domestica	genome	insecta	Zygentoma	NA	C:94.6%[S:92.7%,D:1.9%],F:4.1%,M:1.3%,n:1667	ectognath_comparator	High-BUSCO basal insect comparator; reduces dependence on Anopheles	Check assembly size/fragmentation before final run	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/964/235/325/GCA_964235325.1_izTheDome1.hap1.1/GCA_964235325.1_izTheDome1.hap1.1_genomic.fna.gz
reserve	reserve_genome	no	medium	GCA_977061575.1	GCA_977061575.1	Ephemera vulgata	genome	insecta	Ephemeroptera	NA	NA	insect_reserve	Alternative Ephemeroptera comparator if Cloeon fails	BUSCO not provided in sheet; same broad role as Cloeon	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/977/061/575/GCA_977061575.1_ieEphVulg1.hap2.1/GCA_977061575.1_ieEphVulg1.hap2.1_genomic.fna.gz
main_panel	main_genome	yes	high	GCA_949628265.1	GCF_949628265.1	Cloeon dipterum	genome	insecta	Ephemeroptera	NA	C:88.5%[S:87.9%,D:0.6%],F:8.0%,M:3.5%,n:1667	ectognath_comparator	Good Ephemeroptera comparator; broadens insect sampling beyond Diptera	Source FTP uses GCF_949628265.1 while sheet accession column shows GCA_949628265.1; verify accession consistency	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/949/628/265/GCF_949628265.1_ieCloDipt1.1/GCF_949628265.1_ieCloDipt1.1_genomic.fna.gz
main_panel	main_genome	yes	high	GCA_020796165.1	GCA_020796165.1	Pantala flavescens	genome	insecta	Odonata	NA	C:96.5%[S:94.2%,D:2.2%],F:2.6%,M:0.9%,n:1667	ectognath_comparator	High-BUSCO Odonata comparator; useful non-holometabolous insect branch	Check assembly size/fragmentation before final run	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/020/796/165/GCA_020796165.1_CAAS_Pfla_1.0/GCA_020796165.1_CAAS_Pfla_1.0_genomic.fna.gz
reserve	reserve_genome	no	medium	GCA_977012765.1	GCA_977012765.1	Anax junius	genome	insecta	Odonata	NA	NA	insect_reserve	Alternative Odonata comparator if Pantala fails	BUSCO not provided in sheet; same broad role as Pantala	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/977/012/765/GCA_977012765.1_ioAnaJuni1.hap2.1/GCA_977012765.1_ioAnaJuni1.hap2.1_genomic.fna.gz
exclude_now	exclude_or_later	no	low	GCA_054131365.1	GCA_054131365.1	Gryllus bimaculatus	genome	insecta	Orthoptera	NA	C:96.0%[S:93.3%,D:2.7%],F:3.2%,M:0.7%,n:1667	derived_insect_later	Good genome but not needed for first Phase 2 question	Avoid overloading panel with many derived insects	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/054/131/365/GCA_054131365.1_ASM5413136v1/GCA_054131365.1_ASM5413136v1_genomic.fna.gz
exclude_now	exclude_or_later	no	low	GCA_976940595.1	GCA_976940595.1	Empusa pennicornis	genome	insecta	Mantodea	NA	C:97.4%[S:96.0%,D:1.4%],F:2.2%,M:0.4%,n:1667	derived_insect_later	Good genome but not needed for first Phase 2 question	Avoid overloading panel with many derived insects	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/976/940/595/GCA_976940595.1_imEmpPeni1.1/GCA_976940595.1_imEmpPeni1.1_genomic.fna.gz
exclude_now	exclude_or_later	no	low	GCA_050494535.1	GCA_050494535.1	Timema cristinae	genome	insecta	Phasmatodea	NA	NA	derived_insect_later	Potentially useful later but not needed for first Phase 2 question	BUSCO not provided in sheet; avoid too many derived insects	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/050/494/535/GCA_050494535.1_ASM5049453v1/GCA_050494535.1_ASM5049453v1_genomic.fna.gz
exclude_now	exclude_or_later	no	low	GCA_918797505.1	GCF_918797505.1	Bemisia tabaci	genome	insecta	Hemiptera	NA	C:95.7%[S:93.1%,D:2.6%],F:2.4%,M:1.9%,n:1667	derived_insect_later	Good genome but not needed for first Phase 2 question	Source FTP uses GCF_918797505.1 while sheet accession column shows GCA_918797505.1; verify accession consistency	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/918/797/505/GCF_918797505.1_PGI_BMITA_v3/GCF_918797505.1_PGI_BMITA_v3_genomic.fna.gz
exclude_now	exclude_or_later	no	low	GCA_053478235.1	GCA_053478235.1	Coccinella transversoguttata	genome	insecta	Coleoptera	NA	C:98.6%[S:97.3%,D:1.3%],F:1.1%,M:0.3%,n:1667	derived_insect_later	Excellent BUSCO but not needed for first Phase 2 question	Avoid overloading panel with Holometabola/derived insects	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/053/478/235/GCA_053478235.1_ASM5347823v1/GCA_053478235.1_ASM5347823v1_genomic.fna.gz
exclude_now	exclude_or_later	no	low	GCA_912999745.1	GCF_912999745.1	Papilio machaon	genome	insecta	Lepidoptera	NA	C:98.7%[S:97.4%,D:1.3%],F:0.7%,M:0.6%,n:1667	derived_insect_later	Excellent BUSCO but not needed for first Phase 2 question	Source FTP uses GCF_912999745.1 while sheet accession column shows GCA_912999745.1; verify accession consistency	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/912/999/745/GCF_912999745.1_ilPapMach1.1/GCF_912999745.1_ilPapMach1.1_genomic.fna.gz
exclude_now	exclude_or_later	no	low	GCA_910591885.2	GCF_910591885.1	Bombus terrestris	genome	insecta	Hymenoptera	NA	C:98.9%[S:98.4%,D:0.5%],F:0.5%,M:0.5%,n:1667	derived_insect_later	Excellent BUSCO but not needed for first Phase 2 question	Source FTP uses GCF_910591885.1 while sheet accession column shows GCA_910591885.2; verify accession consistency	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/910/591/885/GCF_910591885.1_iyBomTerr1.2/GCF_910591885.1_iyBomTerr1.2_genomic.fna.gz
main_panel	main_genome	yes	high	GCF_943734735.2	GCF_943734735.2	Anopheles gambiae	genome	insecta	Diptera	NA	C:97.7%[S:97.1%,D:0.7%],F:1.1%,M:1.1%,n:1667	phase1_anchor_insect	Phase 1 anchor and high-quality insect comparator	Use as ectognath/insect comparator, not strict Hexapoda outgroup	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/943/734/735/GCF_943734735.2_idAnoGambNW_F1_1/GCF_943734735.2_idAnoGambNW_F1_1_genomic.fna.gz
main_panel	main_genome	yes	high	GCA_007210705.1	GCF_007210705.1	Tigriopus californicus	genome	crustacea	Copepoda	NA	C:91.8%[S:91.1%,D:0.7%],F:4.7%,M:3.5%,n:1667	outgroup_crustacean	High-BUSCO non-hexapod arthropod outgroup complementing Daphnia	Source FTP uses GCF_007210705.1 while sheet accession column shows GCA_007210705.1; verify accession consistency	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/007/210/705/GCF_007210705.1_Tcal_SD_v2.1/GCF_007210705.1_Tcal_SD_v2.1_genomic.fna.gz
exclude_now	exclude_or_later	no	low	GCA_053477335.1	GCF_053477335.1	Acartia tonsa	genome	crustacea	Copepoda	NA	C:61.8%[S:60.0%,D:1.8%],F:19.3%,M:18.9%,n:1667	outgroup_low_priority	Not selected because BUSCO is low relative to available outgroups	Could add later only if Copepoda sampling becomes a specific goal	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/053/477/335/GCF_053477335.1_ASM5347733v1/GCF_053477335.1_ASM5347733v1_genomic.fna.gz
main_panel	main_genome	yes	high	GCA_021134715.1	GCF_021134715.1	Daphnia pulex	genome	crustacea	Branchiopoda	NA	C:85.8%[S:84.6%,D:1.1%],F:10.0%,M:4.2%,n:1667	phase1_anchor_outgroup	Phase 1 outgroup anchor; keep for continuity	Source FTP uses GCF_021134715.1 while sheet accession column shows GCA_021134715.1; verify accession consistency	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/021/134/715/GCF_021134715.1_ASM2113471v1/GCF_021134715.1_ASM2113471v1_genomic.fna.gz
reserve	reserve_genome	no	medium	GCA_032884065.1	GCF_032884065.1	Artemia franciscana	genome	crustacea	Branchiopoda	NA	C:75.0%[S:68.6%,D:6.5%],F:12.8%,M:12.1%,n:1667	outgroup_reserve	Reserve Branchiopoda outgroup if broader outgroup sampling is needed	Medium/lower BUSCO; not selected initially to keep panel compact	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/032/884/065/GCF_032884065.1_ASM3288406v1/GCF_032884065.1_ASM3288406v1_genomic.fna.gz
exclude_now	exclude_or_later	no	low	GCA_052075045.1	GCA_052075045.1	Palinurus elephas	genome	crustacea	Decapoda	NA	C:53.3%[S:53.1%,D:0.1%],F:12.2%,M:34.5%,n:1667	outgroup_low_priority	Not selected because BUSCO is very low relative to available outgroups	Could introduce missing-data artifacts	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/052/075/045/GCA_052075045.1_ASM5207504v1/GCA_052075045.1_ASM5207504v1_genomic.fna.gz
main_panel	main_genome	yes	medium	GCA_965194735.1	GCA_965194735.1	Jaera ischiosetosa	genome	crustacea	Isopoda	NA	C:85.3%[S:84.5%,D:0.8%],F:9.8%,M:4.9%,n:1667	outgroup_crustacean	Adds a third non-hexapod arthropod outgroup outside Branchiopoda/Copepoda	Medium priority; check assembly size/fragmentation before final run	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/965/194/735/GCA_965194735.1_qmJaeIsch1.1/GCA_965194735.1_qmJaeIsch1.1_genomic.fna.gz
to_add	main_genome_tentative	yes	high	GCA_009757345.1	GCA_009757345.1	Campodea augens	genome	diplura	diplura	Campodeidae	to_verify	second_diplura_candidate	High-priority addition: second Diplura genome needed to test whether Protura+Catajapyx is a Diplura-like signal or Catajapyx-specific	Not present in original sheet; verify FTP, assembly metadata, BUSCO/quality before run	https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_009757345.1/
